2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,Unnamed: 60,Sr. No.,DISTRICT,Block_Name_With_LGD_Code,Village,Site_Name,2015_Pre-monsoon,2015_Post-monsoon,2016_Pre-monsoon,2016_Post-monsoon,2017_Pre-monsoon,2017_Post-monsoon,2018_Pre-monsoon,2018_Post-monsoon,2019_Pre-monsoon,2019_Post-monsoon,2020_Pre-monsoon,2020_Post-monsoon,2021_Pre-monsoon,2021_Post-monsoon,2022_Pre-monsoon,2022_Post-monsoon,STATE_UT_NAME,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
20.61021505376344,23.34077380952381,26.26478494623656,28.47222222222222,29.599462365591396,25.54722222222222,24.149193548387096,23.673387096774192,24.030555555555555,25.377688172043012,23.76388888888889,21.94489247311828,21.27016129032258,24.48419540229885,27.673387096774192,29.56111111111111,29.381720430107528,25.92222222222222,23.186827956989248,22.94489247311828,22.8625,22.888440860215052,21.00138888888889,20.651881720430108,20.772849462365592,24.229166666666668,26.11021505376344,28.716666666666665,29.541666666666668,25.54305555555555,23.77956989247312,23.818548387096776,24.816666666666663,25.041666666666668,22.77638888888889,21.858870967741936,22.551075268817204,25.235119047619047,28.202956989247312,30.370833333333337,30.413978494623656,25.981944444444444,23.705645161290324,23.043010752688172,23.89444444444445,26.153225806451612,24.18611111111111,21.43010752688172,24.446236559139784,26.183035714285715,29.706989247311828,32.57361111111111,31.18951612903226,27.81388888888889,24.331989247311828,23.844086021505376,23.03472222222222,24.02016129032258,23.84861111111111,23.205645161290324,,3506,PUNE,Baramati_4512,Sangavi,Sangavi,4.6,1.3,7.0,1.0,3.9,1.15,3.4,3.3,7.8,2.1,3.8,1.3,6.5,1.2,6.2,2.4,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
20.61021505376344,23.34077380952381,26.26478494623656,28.47222222222222,29.599462365591396,25.54722222222222,24.149193548387096,23.673387096774192,24.030555555555555,25.377688172043012,23.76388888888889,21.94489247311828,21.27016129032258,24.48419540229885,27.673387096774192,29.56111111111111,29.381720430107528,25.92222222222222,23.186827956989248,22.94489247311828,22.8625,22.888440860215052,21.00138888888889,20.651881720430108,20.772849462365592,24.229166666666668,26.11021505376344,28.716666666666665,29.541666666666668,25.54305555555555,23.77956989247312,23.818548387096776,24.816666666666663,25.041666666666668,22.77638888888889,21.858870967741936,22.551075268817204,25.235119047619047,28.202956989247312,30.370833333333337,30.413978494623656,25.981944444444444,23.705645161290324,23.043010752688172,23.89444444444445,26.153225806451612,24.18611111111111,21.43010752688172,24.446236559139784,26.183035714285715,29.706989247311828,32.57361111111111,31.18951612903226,27.81388888888889,24.331989247311828,23.844086021505376,23.03472222222222,24.02016129032258,23.84861111111111,23.205645161290324,,3507,PUNE,Baramati_4512,Vadgaon Nimbalkar,Vadgaon Nimbalkar,6.0,2.9,7.3,1.7,2.6,2.6,2.6,1.7,3.8,1.0,1.8,1.5,2.0,1.8,5.0,2.8,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
20.61021505376344,23.34077380952381,26.26478494623656,28.47222222222222,29.599462365591396,25.54722222222222,24.149193548387096,23.673387096774192,24.030555555555555,25.377688172043012,23.76388888888889,21.94489247311828,21.27016129032258,24.48419540229885,27.673387096774192,29.56111111111111,29.381720430107528,25.92222222222222,23.186827956989248,22.94489247311828,22.8625,22.888440860215052,21.00138888888889,20.651881720430108,20.772849462365592,24.229166666666668,26.11021505376344,28.716666666666665,29.541666666666668,25.54305555555555,23.77956989247312,23.818548387096776,24.816666666666663,25.041666666666668,22.77638888888889,21.858870967741936,22.551075268817204,25.235119047619047,28.202956989247312,30.370833333333337,30.413978494623656,25.981944444444444,23.705645161290324,23.043010752688172,23.89444444444445,26.153225806451612,24.18611111111111,21.43010752688172,24.446236559139784,26.183035714285715,29.706989247311828,32.57361111111111,31.18951612903226,27.81388888888889,24.331989247311828,23.844086021505376,23.03472222222222,24.02016129032258,23.84861111111111,23.205645161290324,,3508,PUNE,Baramati_4512,Baburdi,Baburdi,8.2,3.8,7.5,0.8,6.4,0.55,5.7,3.5,9.5,3.5,5.5,0.6,6.0,1.1,5.2,0.55,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
20.61021505376344,23.34077380952381,26.26478494623656,28.47222222222222,29.599462365591396,25.54722222222222,24.149193548387096,23.673387096774192,24.030555555555555,25.377688172043012,23.76388888888889,21.94489247311828,21.27016129032258,24.48419540229885,27.673387096774192,29.56111111111111,29.381720430107528,25.92222222222222,23.186827956989248,22.94489247311828,22.8625,22.888440860215052,21.00138888888889,20.651881720430108,20.772849462365592,24.229166666666668,26.11021505376344,28.716666666666665,29.541666666666668,25.54305555555555,23.77956989247312,23.818548387096776,24.816666666666663,25.041666666666668,22.77638888888889,21.858870967741936,22.551075268817204,25.235119047619047,28.202956989247312,30.370833333333337,30.413978494623656,25.981944444444444,23.705645161290324,23.043010752688172,23.89444444444445,26.153225806451612,24.18611111111111,21.43010752688172,24.446236559139784,26.183035714285715,29.706989247311828,32.57361111111111,31.18951612903226,27.81388888888889,24.331989247311828,23.844086021505376,23.03472222222222,24.02016129032258,23.84861111111111,23.205645161290324,,3509,PUNE,Baramati_4512,Dhakale,Dhakale,6.4,5.5,9.8,2.3,9.6,0.5,9.7,5.1,9.0,3.4,9.1,0.9,8.7,1.4,5.6,1.7,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
20.61021505376344,23.34077380952381,26.26478494623656,28.47222222222222,29.599462365591396,25.54722222222222,24.149193548387096,23.673387096774192,24.030555555555555,25.377688172043012,23.76388888888889,21.94489247311828,21.27016129032258,24.48419540229885,27.673387096774192,29.56111111111111,29.381720430107528,25.92222222222222,23.186827956989248,22.94489247311828,22.8625,22.888440860215052,21.00138888888889,20.651881720430108,20.772849462365592,24.229166666666668,26.11021505376344,28.716666666666665,29.541666666666668,25.54305555555555,23.77956989247312,23.818548387096776,24.816666666666663,25.041666666666668,22.77638888888889,21.858870967741936,22.551075268817204,25.235119047619047,28.202956989247312,30.370833333333337,30.413978494623656,25.981944444444444,23.705645161290324,23.043010752688172,23.89444444444445,26.153225806451612,24.18611111111111,21.43010752688172,24.446236559139784,26.183035714285715,29.706989247311828,32.57361111111111,31.18951612903226,27.81388888888889,24.331989247311828,23.844086021505376,23.03472222222222,24.02016129032258,23.84861111111111,23.205645161290324,,3511,PUNE,Baramati_4512,Jogwadi,Jogwadi,5.4,1.4,6.2,1.2,6.6,1.8,6.2,6.0,6.2,4.9,3.8,0.7,4.1,3.9,5.9,2.1,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
20.61021505376344,23.34077380952381,26.26478494623656,28.47222222222222,29.599462365591396,25.54722222222222,24.149193548387096,23.673387096774192,24.030555555555555,25.377688172043012,23.76388888888889,21.94489247311828,21.27016129032258,24.48419540229885,27.673387096774192,29.56111111111111,29.381720430107528,25.92222222222222,23.186827956989248,22.94489247311828,22.8625,22.888440860215052,21.00138888888889,20.651881720430108,20.772849462365592,24.229166666666668,26.11021505376344,28.716666666666665,29.541666666666668,25.54305555555555,23.77956989247312,23.818548387096776,24.816666666666663,25.041666666666668,22.77638888888889,21.858870967741936,22.551075268817204,25.235119047619047,28.202956989247312,30.370833333333337,30.413978494623656,25.981944444444444,23.705645161290324,23.043010752688172,23.89444444444445,26.153225806451612,24.18611111111111,21.43010752688172,24.446236559139784,26.183035714285715,29.706989247311828,32.57361111111111,31.18951612903226,27.81388888888889,24.331989247311828,23.844086021505376,23.03472222222222,24.02016129032258,23.84861111111111,23.205645161290324,,3512,PUNE,Baramati_4512,Loni Bhapkar,Loni Bhapkar,10.0,6.0,8.2,3.8,7.65,1.4,5.8,2.2,4.9,2.3,2.0,0.5,1.0,1.0,6.5,0.4,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
20.61021505376344,23.34077380952381,26.26478494623656,28.47222222222222,29.599462365591396,25.54722222222222,24.149193548387096,23.673387096774192,24.030555555555555,25.377688172043012,23.76388888888889,21.94489247311828,21.27016129032258,24.48419540229885,27.673387096774192,29.56111111111111,29.381720430107528,25.92222222222222,23.186827956989248,22.94489247311828,22.8625,22.888440860215052,21.00138888888889,20.651881720430108,20.772849462365592,24.229166666666668,26.11021505376344,28.716666666666665,29.541666666666668,25.54305555555555,23.77956989247312,23.818548387096776,24.816666666666663,25.041666666666668,22.77638888888889,21.858870967741936,22.551075268817204,25.235119047619047,28.202956989247312,30.370833333333337,30.413978494623656,25.981944444444444,23.705645161290324,23.043010752688172,23.89444444444445,26.153225806451612,24.18611111111111,21.43010752688172,24.446236559139784,26.183035714285715,29.706989247311828,32.57361111111111,31.18951612903226,27.81388888888889,24.331989247311828,23.844086021505376,23.03472222222222,24.02016129032258,23.84861111111111,23.205645161290324,,3513,PUNE,Baramati_4512,Morgaon,Morgaon,12.5,11.0,10.5,8.4,13.6,11.2,12.7,11.0,15.25,10.9,12.5,7.8,8.2,6.75,8.85,5.95,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
20.61021505376344,23.34077380952381,26.26478494623656,28.47222222222222,29.599462365591396,25.54722222222222,24.149193548387096,23.673387096774192,24.030555555555555,25.377688172043012,23.76388888888889,21.94489247311828,21.27016129032258,24.48419540229885,27.673387096774192,29.56111111111111,29.381720430107528,25.92222222222222,23.186827956989248,22.94489247311828,22.8625,22.888440860215052,21.00138888888889,20.651881720430108,20.772849462365592,24.229166666666668,26.11021505376344,28.716666666666665,29.541666666666668,25.54305555555555,23.77956989247312,23.818548387096776,24.816666666666663,25.041666666666668,22.77638888888889,21.858870967741936,22.551075268817204,25.235119047619047,28.202956989247312,30.370833333333337,30.413978494623656,25.981944444444444,23.705645161290324,23.043010752688172,23.89444444444445,26.153225806451612,24.18611111111111,21.43010752688172,24.446236559139784,26.183035714285715,29.706989247311828,32.57361111111111,31.18951612903226,27.81388888888889,24.331989247311828,23.844086021505376,23.03472222222222,24.02016129032258,23.84861111111111,23.205645161290324,,3514,PUNE,Baramati_4512,Murti,Murti,6.7,2.6,5.0,2.0,11.6,2.15,11.9,9.2,14.3,5.9,8.0,1.4,9.7,3.8,9.2,1.3,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
20.61021505376344,23.34077380952381,26.26478494623656,28.47222222222222,29.599462365591396,25.54722222222222,24.149193548387096,23.673387096774192,24.030555555555555,25.377688172043012,23.76388888888889,21.94489247311828,21.27016129032258,24.48419540229885,27.673387096774192,29.56111111111111,29.381720430107528,25.92222222222222,23.186827956989248,22.94489247311828,22.8625,22.888440860215052,21.00138888888889,20.651881720430108,20.772849462365592,24.229166666666668,26.11021505376344,28.716666666666665,29.541666666666668,25.54305555555555,23.77956989247312,23.818548387096776,24.816666666666663,25.041666666666668,22.77638888888889,21.858870967741936,22.551075268817204,25.235119047619047,28.202956989247312,30.370833333333337,30.413978494623656,25.981944444444444,23.705645161290324,23.043010752688172,23.89444444444445,26.153225806451612,24.18611111111111,21.43010752688172,24.446236559139784,26.183035714285715,29.706989247311828,32.57361111111111,31.18951612903226,27.81388888888889,24.331989247311828,23.844086021505376,23.03472222222222,24.02016129032258,23.84861111111111,23.205645161290324,,3515,PUNE,Baramati_4512,Supe,Supe,8.6,3.9,8.9,3.5,6.0,2.6,8.02,8.0,8.9,5.2,11.5,1.8,8.9,2.5,5.9,1.4,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
20.61021505376344,23.34077380952381,26.26478494623656,28.47222222222222,29.599462365591396,25.54722222222222,24.149193548387096,23.673387096774192,24.030555555555555,25.377688172043012,23.76388888888889,21.94489247311828,21.27016129032258,24.48419540229885,27.673387096774192,29.56111111111111,29.381720430107528,25.92222222222222,23.186827956989248,22.94489247311828,22.8625,22.888440860215052,21.00138888888889,20.651881720430108,20.772849462365592,24.229166666666668,26.11021505376344,28.716666666666665,29.541666666666668,25.54305555555555,23.77956989247312,23.818548387096776,24.816666666666663,25.041666666666668,22.77638888888889,21.858870967741936,22.551075268817204,25.235119047619047,28.202956989247312,30.370833333333337,30.413978494623656,25.981944444444444,23.705645161290324,23.043010752688172,23.89444444444445,26.153225806451612,24.18611111111111,21.43010752688172,24.446236559139784,26.183035714285715,29.706989247311828,32.57361111111111,31.18951612903226,27.81388888888889,24.331989247311828,23.844086021505376,23.03472222222222,24.02016129032258,23.84861111111111,23.205645161290324,,3517,PUNE,Baramati_4512,Undawadikade Pathar,Undawadikade Pathar,6.0,4.7,6.0,3.5,5.8,1.5,6.2,6.0,6.25,5.1,6.1,2.0,6.25,2.2,6.3,1.6,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
20.61021505376344,23.34077380952381,26.26478494623656,28.47222222222222,29.599462365591396,25.54722222222222,24.149193548387096,23.673387096774192,24.030555555555555,25.377688172043012,23.76388888888889,21.94489247311828,21.27016129032258,24.48419540229885,27.673387096774192,29.56111111111111,29.381720430107528,25.92222222222222,23.186827956989248,22.94489247311828,22.8625,22.888440860215052,21.00138888888889,20.651881720430108,20.772849462365592,24.229166666666668,26.11021505376344,28.716666666666665,29.541666666666668,25.54305555555555,23.77956989247312,23.818548387096776,24.816666666666663,25.041666666666668,22.77638888888889,21.858870967741936,22.551075268817204,25.235119047619047,28.202956989247312,30.370833333333337,30.413978494623656,25.981944444444444,23.705645161290324,23.043010752688172,23.89444444444445,26.153225806451612,24.18611111111111,21.43010752688172,24.446236559139784,26.183035714285715,29.706989247311828,32.57361111111111,31.18951612903226,27.81388888888889,24.331989247311828,23.844086021505376,23.03472222222222,24.02016129032258,23.84861111111111,23.205645161290324,,3520,PUNE,Indapur_4516,Anthurne,Anthurne,11.0,4.8,10.7,2.3,5.0,3.6,9.0,4.8,5.8,4.7,4.9,4.0,7.6,2.2,3.6,3.9,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
20.61021505376344,23.34077380952381,26.26478494623656,28.47222222222222,29.599462365591396,25.54722222222222,24.149193548387096,23.673387096774192,24.030555555555555,25.377688172043012,23.76388888888889,21.94489247311828,21.27016129032258,24.48419540229885,27.673387096774192,29.56111111111111,29.381720430107528,25.92222222222222,23.186827956989248,22.94489247311828,22.8625,22.888440860215052,21.00138888888889,20.651881720430108,20.772849462365592,24.229166666666668,26.11021505376344,28.716666666666665,29.541666666666668,25.54305555555555,23.77956989247312,23.818548387096776,24.816666666666663,25.041666666666668,22.77638888888889,21.858870967741936,22.551075268817204,25.235119047619047,28.202956989247312,30.370833333333337,30.413978494623656,25.981944444444444,23.705645161290324,23.043010752688172,23.89444444444445,26.153225806451612,24.18611111111111,21.43010752688172,24.446236559139784,26.183035714285715,29.706989247311828,32.57361111111111,31.18951612903226,27.81388888888889,24.331989247311828,23.844086021505376,23.03472222222222,24.02016129032258,23.84861111111111,23.205645161290324,,3522,PUNE,Indapur_4516,Bhadalwadi,Bhadalwadi,10.5,1.2,10.5,0.8,4.6,1.2,9.5,5.6,10.5,2.0,7.4,1.6,1.4,1.0,6.6,0.8,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
20.61021505376344,23.34077380952381,26.26478494623656,28.47222222222222,29.599462365591396,25.54722222222222,24.149193548387096,23.673387096774192,24.030555555555555,25.377688172043012,23.76388888888889,21.94489247311828,21.27016129032258,24.48419540229885,27.673387096774192,29.56111111111111,29.381720430107528,25.92222222222222,23.186827956989248,22.94489247311828,22.8625,22.888440860215052,21.00138888888889,20.651881720430108,20.772849462365592,24.229166666666668,26.11021505376344,28.716666666666665,29.541666666666668,25.54305555555555,23.77956989247312,23.818548387096776,24.816666666666663,25.041666666666668,22.77638888888889,21.858870967741936,22.551075268817204,25.235119047619047,28.202956989247312,30.370833333333337,30.413978494623656,25.981944444444444,23.705645161290324,23.043010752688172,23.89444444444445,26.153225806451612,24.18611111111111,21.43010752688172,24.446236559139784,26.183035714285715,29.706989247311828,32.57361111111111,31.18951612903226,27.81388888888889,24.331989247311828,23.844086021505376,23.03472222222222,24.02016129032258,23.84861111111111,23.205645161290324,,3523,PUNE,Indapur_4516,Bhigvan,Bhigvan,11.8,6.4,12.0,3.0,11.6,1.6,12.0,7.4,12.05,4.5,8.5,2.7,6.8,4.1,7.5,2.6,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
