date_time,tempC
2015-01-31,20.61021505376344
2015-02-28,23.34077380952381
2015-03-31,26.26478494623656
2015-04-30,28.47222222222222
2015-05-31,29.599462365591396
2015-06-30,25.54722222222222
2015-07-31,24.149193548387096
2015-08-31,23.673387096774192
2015-09-30,24.030555555555555
2015-10-31,25.377688172043012
2015-11-30,23.76388888888889
2015-12-31,21.94489247311828
2016-01-31,21.27016129032258
2016-02-29,24.48419540229885
2016-03-31,27.673387096774192
2016-04-30,29.56111111111111
2016-05-31,29.381720430107528
2016-06-30,25.92222222222222
2016-07-31,23.186827956989248
2016-08-31,22.94489247311828
2016-09-30,22.8625
2016-10-31,22.888440860215052
2016-11-30,21.00138888888889
2016-12-31,20.651881720430108
2017-01-31,20.772849462365592
2017-02-28,24.229166666666668
2017-03-31,26.11021505376344
2017-04-30,28.716666666666665
2017-05-31,29.541666666666668
2017-06-30,25.54305555555555
2017-07-31,23.77956989247312
2017-08-31,23.818548387096776
2017-09-30,24.816666666666663
2017-10-31,25.041666666666668
2017-11-30,22.77638888888889
2017-12-31,21.858870967741936
2018-01-31,22.551075268817204
2018-02-28,25.235119047619047
2018-03-31,28.202956989247312
2018-04-30,30.370833333333337
2018-05-31,30.413978494623656
2018-06-30,25.981944444444444
2018-07-31,23.705645161290324
2018-08-31,23.043010752688172
2018-09-30,23.89444444444445
2018-10-31,26.153225806451612
2018-11-30,24.18611111111111
2018-12-31,21.43010752688172
2019-01-31,24.446236559139784
2019-02-28,26.183035714285715
2019-03-31,29.706989247311828
2019-04-30,32.57361111111111
2019-05-31,31.18951612903226
2019-06-30,27.81388888888889
2019-07-31,24.331989247311828
2019-08-31,23.844086021505376
2019-09-30,23.03472222222222
2019-10-31,24.02016129032258
2019-11-30,23.84861111111111
2019-12-31,23.205645161290324
,